DATE,IRLTLT01USM156N
2000-01-01,6.0291666666666667
2001-01-01,5.0175000000000000
2002-01-01,4.6108333333333333
2003-01-01,4.0150000000000000
2004-01-01,4.2741666666666667
2005-01-01,4.2900000000000000
2006-01-01,4.7916666666666667
2007-01-01,4.6291666666666667
2008-01-01,3.6666666666666667
2009-01-01,3.2566666666666667
2010-01-01,3.2141666666666667
2011-01-01,2.7858333333333333
2012-01-01,1.8025000000000000
2013-01-01,2.3508333333333333
2014-01-01,2.5408333333333333
2015-01-01,2.1358333333333333
2016-01-01,1.8416666666666667
2017-01-01,2.3300000000000000
2018-01-01,2.9100000000000000
2019-01-01,2.1441666666666667
2020-01-01,0.89416666666666666667
